Reporting Economy;Product/Sector;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
World;SI3_AGG - TO - Total merchandise;10510291;12131279;14031816;16168718;12564776;15301659;18337603;18508981;18958769;18999593;16554643;16036335;17741325;19550037;19017108;17653275;22365766;24925766
World;SI3_AGG - AG - Agricultural products;847715;942450;1131691;1342823;1177136;1354429;1649389;1655099;1731531;1746687;1565686;1585693;1731381;1810271;1788200;1809475;2148665;2325521
World;SI3_AGG - AGFO - Food;680936;753836;915653;1114698;998004;1115790;1350316;1369778;1445339;1480252;1332886;1357202;1473948;1533561;1533159;1573538;1836335;2007666
World;SI3_AGG - MI - Fuels and mining products;1810185;2319402;2674500;3554158;2299789;3074398;4122493;4164125;4051300;3720251;2380017;2033684;2611396;3264056;3102597;2326889;3670710;4950975
World;SI3_AGG - MIFU - Fuels;1457315;1801129;2047440;2884170;1838528;2395065;3268505;3399965;3309479;3026072;1808811;1492255;1948478;2528513;2370333;1571511;2555970;3865877
World;SI3_AGG - MA - Manufactures;7302724;8263994;9533196;10475820;8379712;9988931;11518898;11502948;11859117;12137427;11223332;11032322;12007190;13004657;12747178;12142257;14881261;15720273
World;SI3_AGG - MAIS - Iron and steel;316470;375338;479301;588219;326017;422105;525711;482478;451128;469198;378752;343686;415820;470188;419202;363882;585812;620911
World;SI3_AGG - MACH - Chemicals;1101752;1244851;1478222;1684177;1453993;1694259;1984161;1960336;1997265;2038724;1843629;1819933;1994820;2246525;2203346;2208490;2788143;3055704
World;SI3_AGG - MACHPH - Pharmaceuticals;275127;313193;372901;420731;438048;462816;504343;509901;520808;551189;531307;537966;566738;635750;669759;734080;881509;909778
World;SI3_AGG - MAMT - Machinery and transport equipment;3855720;4381947;4975712;5363885;4219363;5096977;5757722;5789595;5970635;6039411;5677673;5614139;6170129;6637822;6498356;6165365;7351347;7670030
World;SI3_AGG - MAMTOF - Office and telecom equipment;1274912;1456157;1516057;1567402;1326093;1616873;1689788;1708540;1783393;1816897;1731530;1681575;1911417;2074207;2025585;2103951;2506315;2568481
World;SI3_AGG - MAMTOTEP - Electronic data processing and office equipment;467810;518723;545253;548368;463136;546952;556100;562342;550112;564883;498841;470053;624029;697842;670008;633708;738186;694116
World;SI3_AGG - MAMTOTTL - Telecommunications equipment;462531;546472;558546;600596;507521;585448;639328;658130;694565;718206;705766;685097;644291;657680;640911;688472;789783;1091617
World;SI3_AGG - MAMTOTIC - Integrated circuits and electronic components;344571;390962;412258;418438;355437;484473;494360;488068;538716;533809;526923;526425;643097;718685;714666;781772;978345;782748
World;SI3_AGG - MAMTTE - Transport equipment;1316261;1466888;1725185;1841844;1376294;1686686;1962777;1972622;2035313;1998252;2020157;2020441;2133624;2221432;2167016;1825454;2128513;2220722
World;SI3_AGG - MAMTAU - Automotive products;921566;1019891;1197203;1236437;849353;1094212;1287202;1303965;1348600;1404860;1334166;1366690;1466119;1544234;1506414;1273434;1473596;1562271
World;SI3_AGG - MATE - Textiles;203112;219196;239938;251269;212161;252836;295145;282816;302424;311173;288227;281248;295431;312174;305436;328358;354221;350959
World;SI3_AGG - MACL - Clothing;278465;310876;349061;365091;318214;354819;419432;415785;452983;481281;453627;445260;465686;494493;495533;450079;548491;577700
Afghanistan;SI3_AGG - TO - Total merchandise;384;416;454;540;403;388;376;429;515;570;571;596;723;875;864;777;1035;992
Afghanistan;SI3_AGG - AG - Agricultural products;;;;311;251;197;196;76;70;83;361;437;637;725;730;694;732;650
Afghanistan;SI3_AGG - AGFO - Food;;;;284;221;156;147;75;70;83;277;339;495;579;548;529;545;418
Afghanistan;SI3_AGG - MI - Fuels and mining products;;;;0;1;1;1;;;;26;7;51;100;89;51;158;304
Afghanistan;SI3_AGG - MIFU - Fuels;;;;;;;;;;;20;;44;89;70;27;100;247
Afghanistan;SI3_AGG - MA - Manufactures;;;;187;73;76;53;73;73;84;91;39;34;34;44;25;143;37
Afghanistan;SI3_AGG - MAIS - Iron and steel;;;;;;;;;;;;;;;0;0;0;0
Afghanistan;SI3_AGG - MACH - Chemicals;;;;;;;;;;;0;;1;0;1;1;2;1
Afghanistan;SI3_AGG - MACHPH - Pharmaceuticals;;;;;;;;;;;;;;;0;0;0;0
Afghanistan;SI3_AGG - MAMT - Machinery and transport equipment;;;;;;;;;;;;;0;4;1;5;77;5
Afghanistan;SI3_AGG - MAMTOF - Office and telecom equipment;;;;;;;;;;;;;;0;0;2;59;1
Afghanistan;SI3_AGG - MAMTOTEP - Electronic data processing and office equipment;;;;;;;;;;;;;;;0;0;55;0
Afghanistan;SI3_AGG - MAMTOTTL - Telecommunications equipment;;;;;;;;;;;;;;0;0;1;2;0
Afghanistan;SI3_AGG - MAMTOTIC - Integrated circuits and electronic components;;;;;;;;;;;;;;;0;0;2;0
Afghanistan;SI3_AGG - MAMTTE - Transport equipment;;;;;;;;;;;;;;2;1;2;5;1
Afghanistan;SI3_AGG - MAMTAU - Automotive products;;;;;;;;;;;;;;2;1;0;1;1
Afghanistan;SI3_AGG - MATE - Textiles;;;;150;68;70;49;73;73;84;90;39;25;23;30;10;14;17
Afghanistan;SI3_AGG - MACL - Clothing;;;;;;;;;;;;;0;0;0;0;1;1
Africa;SI3_AGG - TO - Total merchandise;308467;367944;437139;562908;395693;519226;612730;637086;594330;564955;397658;361148;434318;508924;481551;397398;569144;665304
African, Caribbean and Pacific States (ACP);SI3_AGG - TO - Total merchandise;226786;269948;317568;400075;290875;389128;497035;481974;465509;464767;334296;299121;355659;409827;385846;334648;451037;522490
Africa, CIS and Middle East;SI3_AGG - TO - Total merchandise;1158091;1418978;1673722;2231087;1527485;1960691;2591171;2728442;2659276;2501908;1745989;1558871;1845127;2270534;2122357;1662909;2383663;3028562
Albania;SI3_AGG - TO - Total merchandise;659;790;1079;1027;1091;1544;1947;1967;2339;2429;1917;1959;2292;2870;2716;2506;3559;4309
Albania;SI3_AGG - AG - Agricultural products;67;78;94;104;94;107;132;140;161;176;183;218;274;317;338;374;448;477
Albania;SI3_AGG - AGFO - Food;38;45;57;54;62;70;81;91;106;123;133;169;222;258;277;306;368;399
Albania;SI3_AGG - MI - Fuels and mining products;66;126;224;299;230;477;645;738;951;817;505;398;390;551;473;377;751;1110
Albania;SI3_AGG - MIFU - Fuels;17;33;80;118;126;278;413;523;723;612;347;221;196;383;301;207;486;734
Albania;SI3_AGG - MA - Manufactures;525;585;754;948;763;960;1169;1085;1218;1432;1224;1339;1626;1999;1902;1750;2355;2716
Albania;SI3_AGG - MAIS - Iron and steel;39;23;32;115;43;158;219;192;190;195;146;118;188;296;231;198;461;519
Albania;SI3_AGG - MACH - Chemicals;3;3;4;6;7;7;19;12;18;22;23;25;28;42;49;48;75;100
Albania;SI3_AGG - MACHPH - Pharmaceuticals;1;0;1;1;1;2;2;1;2;3;4;5;3;3;4;4;4;4
Albania;SI3_AGG - MAMT - Machinery and transport equipment;27;31;44;54;52;64;76;71;78;87;85;91;128;166;190;206;277;343
Albania;SI3_AGG - MAMTOF - Office and telecom equipment;4;7;9;8;10;12;10;8;9;13;18;7;11;14;14;16;19;24
Albania;SI3_AGG - MAMTOTEP - Electronic data processing and office equipment;2;3;5;5;4;6;3;2;2;2;3;4;4;2;2;3;4;4
Albania;SI3_AGG - MAMTOTTL - Telecommunications equipment;2;4;4;3;5;6;6;6;6;10;16;3;7;9;7;11;13;18
Albania;SI3_AGG - MAMTOTIC - Integrated circuits and electronic components;0;0;0;0;0;1;1;0;0;0;0;0;0;2;5;2;2;2
Albania;SI3_AGG - MAMTTE - Transport equipment;3;3;3;5;4;6;9;9;10;13;12;17;21;21;26;37;36;48
Albania;SI3_AGG - MAMTAU - Automotive products;2;1;2;2;3;3;6;6;6;11;11;15;19;14;20;30;28;41
Albania;SI3_AGG - MATE - Textiles;2;3;5;8;7;10;9;8;10;15;12;15;21;26;30;42;39;45
Albania;SI3_AGG - MACL - Clothing;198;225;289;351;291;281;325;292;327;395;358;428;493;565;537;490;564;583
Algeria;SI3_AGG - TO - Total merchandise;46002;54613;60163;79298;45174;57053;73489;71866;64974;60061;34668;30026;35191;41797;35312;21925;38558;60924
Algeria;SI3_AGG - AG - Agricultural products;72;91;101;132;120;329;377;327;413;337;247;341;370;278;305;382;485;392
Algeria;SI3_AGG - AGFO - Food;70;88;98;127;116;320;359;320;405;326;237;331;352;258;285;367;444;348
Algeria;SI3_AGG - MI - Fuels and mining products;45487;53944;59494;78324;44656;56253;72400;70893;63988;58515;33326;28661;33881;39603;33176;19847;34242;54909
Algeria;SI3_AGG - MIFU - Fuels;45262;53549;59188;77822;44443;56087;72212;70716;63877;58408;33218;28586;33823;39481;33048;19759;34087;54593
Algeria;SI3_AGG - MA - Manufactures;439;574;566;825;392;460;658;646;572;1203;1093;990;940;1858;1772;1686;3797;5568
Algeria;SI3_AGG - MAIS - Iron and steel;62;129;174;127;24;45;60;36;23;16;5;0;10;55;121;56;905;980
Algeria;SI3_AGG - MACH - Chemicals;303;328;278;505;259;312;478;508;444;1099;1020;887;777;1541;1405;1379;2456;3817
Algeria;SI3_AGG - MACHPH - Pharmaceuticals;1;5;3;2;3;1;1;2;3;2;2;6;5;6;4;2;3;2
Algeria;SI3_AGG - MAMT - Machinery and transport equipment;29;24;21;38;22;14;17;15;14;14;18;54;81;159;105;103;116;100
Algeria;SI3_AGG - MAMTOF - Office and telecom equipment;2;2;1;3;1;2;2;1;1;1;1;6;13;11;14;6;6;4
Algeria;SI3_AGG - MAMTOTEP - Electronic data processing and office equipment;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0
Algeria;SI3_AGG - MAMTOTTL - Telecommunications equipment;1;2;1;3;0;2;2;0;0;1;0;5;8;10;13;5;5;4
Algeria;SI3_AGG - MAMTOTIC - Integrated circuits and electronic components;1;0;0;0;0;0;0;0;0;0;0;2;4;0;1;0;0;0
Algeria;SI3_AGG - MAMTTE - Transport equipment;12;13;2;5;7;1;0;3;6;3;11;2;21;21;21;37;23;9
Algeria;SI3_AGG - MAMTAU - Automotive products;5;7;1;1;2;1;0;0;2;0;0;0;0;7;6;6;19;2
Algeria;SI3_AGG - MATE - Textiles;3;3;6;4;2;1;0;0;0;0;1;1;1;3;7;19;11;8
Algeria;SI3_AGG - MACL - Clothing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3;1
American Samoa;SI3_AGG - TO - Total merchandise;374;439;331;337;484;320;300;422;388;346;379;388;397;377;353;399;317;366
Andean Community (ANDEAN);SI3_AGG - TO - Total merchandise;51484;64934;77034;93795;79004;99598;134445;141050;137904;131493;96292;92152;107319;120386;117019;97978;137664;164619
Andorra;SI3_AGG - TO - Total merchandise;;;;;;;;;;95;90;97;118;129;;;;
Angola;SI3_AGG - TO - Total merchandise;24109;31862;44396;63914;40828;50595;67310;71093;68247;59170;33181;27589;34613;40758;35432;22135;34472;51275
Angola;SI3_AGG - AG - Agricultural products;59;62;52;24;32;29;26;45;51;55;118;235;239;288;135;136;93;119
Angola;SI3_AGG - AGFO - Food;;;;21;13;29;26;45;50;50;107;170;147;143;115;117;92;118
Angola;SI3_AGG - MI - Fuels and mining products;23357;31204;42394;62721;39435;49283;65762;69428;67661;58617;32250;26574;33909;40109;34630;20825;32894;49646
Angola;SI3_AGG - MIFU - Fuels;23310;31167;42354;62601;39333;48211;64552;68318;66505;57336;31150;25580;32761;38905;33387;19688;31319;47576
Angola;SI3_AGG - MA - Manufactures;693;596;454;1154;1352;1258;1516;1602;;;809;779;465;268;668;1173;1482;1504
Angola;SI3_AGG - MAIS - Iron and steel;;;;;;;;;;;25;50;28;21;19;13;23;36
Angola;SI3_AGG - MACH - Chemicals;;;;;;;;;;;7;15;19;17;13;10;6;15
Angola;SI3_AGG - MACHPH - Pharmaceuticals;;;;;;;;;;;0;0;0;0;0;0;0;0
Angola;SI3_AGG - MAMT - Machinery and transport equipment;;;;;;;;;;;585;455;270;138;544;1073;1281;1272
Angola;SI3_AGG - MAMTOF - Office and telecom equipment;;;;;;;;;;;9;8;7;5;4;2;5;10
Angola;SI3_AGG - MAMTOTEP - Electronic data processing and office equipment;;;;;;;;;;;3;3;2;2;1;1;2;1
Angola;SI3_AGG - MAMTOTTL - Telecommunications equipment;;;;;;;;;;;5;5;4;3;2;1;3;8
Angola;SI3_AGG - MAMTOTIC - Integrated circuits and electronic components;;;;;;;;;;;1;0;1;1;0;0;0;0
Angola;SI3_AGG - MAMTTE - Transport equipment;;;;;;;;;;;284;154;35;16;388;971;1186;1127
Angola;SI3_AGG - MAMTAU - Automotive products;;;;;;;;;;;11;23;13;6;10;6;7;6
Angola;SI3_AGG - MATE - Textiles;;;;;;;;;;;1;2;2;1;1;1;1;1
Angola;SI3_AGG - MACL - Clothing;;;;;;;;;;;1;1;0;0;0;0;0;0
Anguilla;SI3_AGG - TO - Total merchandise;;;;;;;;;;5;11;7;11;12;12;11;14;16
Antigua and Barbuda;SI3_AGG - TO - Total merchandise;83;74;59;65;51;46;56;63;69;99;66;61;21;26;38;22;19;22
Antigua and Barbuda;SI3_AGG - AG - Agricultural products;1;1;3;3;2;3;4;3;2;2;2;1;5;6;5;6;6;5
